Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 2 ; 7 ),\quad B ( -6 ; 2 ),\quad C ( 0 ; -5 ),\quad D ( -3 ; -6 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 5 ; 0 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -8 ; 5 ),\quad B ( -5 ; 3 ),\quad C ( 5 ; -4 ),\quad D ( -8 ; -4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 9 ; 9 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 5 ; 0 ),\quad B ( 8 ; -2 ),\quad C ( -9 ; 0 ),\quad D ( -7 ; -7 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 8 ; 5 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -5 ; 0 ),\quad B ( 4 ; -5 ),\quad C ( -6 ; -1 ),\quad D ( 4 ; 8 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 2 ; -8 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 2 ; -2 ),\quad B ( 1 ; 8 ),\quad C ( 5 ; 9 ),\quad D ( 4 ; 4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -2 ; -6 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -8 ; -4 ),\quad B ( 5 ; 9 ),\quad C ( -6 ; 7 ),\quad D ( 7 ; -2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 5 ; -2 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 9 ; -1 ),\quad B ( 8 ; 8 ),\quad C ( 8 ; 2 ),\quad D ( -2 ; 8 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -8 ; -1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -6 ; -1 ),\quad B ( -1 ; -1 ),\quad C ( -5 ; -5 ),\quad D ( 0 ; -1 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -9 ; 7 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 9 ; 4 ),\quad B ( 0 ; -2 ),\quad C ( -4 ; 9 ),\quad D ( 3 ; 7 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 8 ; -6 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -1 ; 1 ),\quad B ( 3 ; 1 ),\quad C ( 3 ; -2 ),\quad D ( 0 ; 4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -6 ; 1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -8 ; 5 ),\quad B ( 9 ; 6 ),\quad C ( -4 ; -6 ),\quad D ( 4 ; 4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -9 ; -6 )$?
